EmployeeID,Department,Position,Education,Age,Gender,Salary,HireDate
1001,Operations,Coordinator,Bachelor,52,F," R$ 9,720.32 ",2015-10-27
1002,Logistics,Assistant,High School,54,F," R$ 7,377.19 ",2016-11-24
1003,HR,Technician,Technical Diploma,27,F," R$ 6,678.14 ",2010-08-19
1004,Legal,Analyst,Bachelor,25,M," R$ 13,790.14 ",2018-08-11
1005,IT,Assistant,High School,37,M," R$ 13,299.06 ",2012-08-22
1006,HR,Technician,Technical Diploma,24,F," R$ 6,568.88 ",2010-07-11
1007,Marketing,,Bachelor,46,M," R$ 12,854.10 ",28/10/2018
1008,Finance,Manager,Master,38,F," R$ 19,384.20 ",2010-12-30
1009,Legal,Technician,Technical Diploma,43,M," R$ 17,001.67 ",2023-10-01
1010,IT,Manager,Master,39,M," R$ 12,434.49 ",2021-02-15
1011,HR,Director,PhD,53,M," R$ 7,526.96 ",2016-10-23
1012,Finance,Specialist,Master,39,M," R$ 18,733.58 ",16/07/2014
1013,Marketing,Director,PhD,47,M," R$ 10,523.80 ",15/12/2017
1014,Logistics,Manager,Master,46,F," R$ 7,523.17 ",2010-02-22
1015,Operations,Director,PhD,49,M," R$ 10,573.41 ",2011-03-03
1016,HR,Manager,Master,61,F," R$ 9,527.66 ",2015-11-04
1017,Marketing,Technician,Technical Diploma,44,M," R$ 12,603.70 ",2010-04-27
1018,Finance,Analyst,Bachelor,29,F," R$ 17,302.11 ",2011-08-11
1019,IT, ,PhD,34,F," R$ 13,308.47 ",2019-08-17
1020,Operations,Director,PhD,31,M," R$ 7,722.24 ",26/04/2023
1021,HR,Assistant,High School,62,F," R$ 8,877.33 ",2018-03-05
1022,Legal,,High School,24,M," R$ 12,807.77 ",2014-07-30
1023,Marketing,Coordinator,Bachelor,31,F," R$ 8,196.99 ",2014-11-17
1024,Logistics,Analyst,Bachelor,36,F," R$ 6,081.80 ",2013-04-20
1025,Finance,Director,PhD,45,F," R$ 19,292.50 ",2015-02-01
1026,Operations,Coordinator,Bachelor,31,M," R$ 8,231.66 ",2010-06-27
1027,Finance,Director,PhD,42,F," R$ 20,482.88 ",2016-08-04
1028,Marketing,Technician,Technical Diploma,59,M," R$ 13,457.66 ",2014-02-23
1029,Marketing,Specialist,Master,60,F," R$ 13,662.61 ",24/03/2010
1030,IT,Manager,Master,63,M,,2020-10-21
1031,Operations,Manager,Master,49,M," R$ 11,139.54 ",23/09/2018
1032,IT,Specialist,Master,62,M," R$ 17,829.10 ",2014-02-02
1033,HR,Coordinator,Bachelor,23,M," R$ 5,773.79 ",2011-04-01
1034,IT,Coordinator,Bachelor,62,M," R$ 15,624.17 ",2021-08-03
1035,Finance,Director,PhD,25,M," R$ 15,144.56 ",20/02/2020
1036,Legal,Coordinator,,64,F," R$ 22,059.16 ",2023-05-07
1037,Logistics,Analyst,Bachelor,24,M," R$ 4,602.92 ",2015-10-22
1038,Finance,Coordinator,Bachelor,53,M," R$ 20,702.86 ",2021-10-13
1039,,Director,PhD,55,F," R$ 7,374.50 ",2011-03-22
1040, ,Technician,Technical Diploma,37,F," R$ 6,416.45 ",2014-10-17
1041,Finance,Manager,Master,25,F," R$ 15,206.37 ",2020-07-25
1042,HR,Director,PhD,39,F," R$ 7,412.65 ",2011-06-18
1043,Legal,Assistant,High School,49,F," R$ 18,382.83 ",2017-05-13
1044,Marketing,Coordinator,Bachelor,63,M," R$ 12,978.95 ",2010-12-06
1045,IT,Director,PhD,27,M," R$ 10,587.45 ",2019-04-04
1046,Legal,Coordinator,Bachelor,64,F," R$ 21,771.30 ",2016-11-07
1047,HR,Manager,Master,63,F," R$ 10,192.70 ",2021-10-08
1048,Operations,Assistant,High School,22,F," R$ 6,547.37 ",2023-09-10
1049,Marketing,Director,PhD,37,M," R$ 8,793.72 ",2012-12-10
1050,HR,Technician,Technical Diploma,58,F," R$ 9,591.81 ",2010-07-05
1051,Operations,Specialist,Master,30,F," R$ 7,300.47 ",2021-02-10
1052,Legal,Technician,Technical Diploma,38,M," R$ 15,801.14 ",2012-03-26
1053,Operations,Technician,Technical Diploma,57,F," R$ 12,091.21 ",18/04/2018
1054,Legal,Coordinator,Bachelor,55,M," R$ 20,110.09 ",2010-05-19
1055,Legal,Coordinator,Bachelor,52,M," R$ 21,382.32 ",12/01/2021
1056,HR,Director,PhD,55,M,,2015-10-21
1057,HR,Manager, ,58,M," R$ 8,033.72 ",2018-06-09
1058,HR,Coordinator,Bachelor,55,M," R$ 9,686.10 ",2022-11-02
1059,IT,Coordinator,Bachelor,58,M," R$ 15,819.35 ",2016-10-27
1060, ,Analyst,Bachelor,22,F," R$ 5,924.72 ",2012-09-10
1061,Logistics,Analyst,Bachelor,36,M," R$ 6,070.24 ",2016-12-19
1062,IT,Director,PhD,52,F," R$ 13,921.47 ",2016-03-06
1063,Logistics,Assistant,High School,35,F," R$ 5,900.70 ",21/05/2011
1064,Marketing,Assistant,High School,55,F," R$ 12,544.09 ",2014-05-21
1065,Marketing,Director,PhD,22,M," R$ 8,742.33 ",2016-07-10
1066,IT,Manager,Master,56,M," R$ 16,274.50 ",2011-10-12
1067,Operations,Manager,Master,32,F," R$ 7,854.04 ",2011-09-04
1068,Legal,Specialist,Master,38,F," R$ 15,452.74 ",2019-07-24
1069,Legal,Analyst,Bachelor,26,M," R$ 14,484.43 ",2013-12-21
1070,HR,Technician,Technical Diploma,38,M," R$ 7,877.05 ",2013-05-28
1071,Legal,Specialist,Master,39,M," R$ 18,136.05 ",03/06/2017
1072, ,Coordinator,Bachelor,46,F," R$ 10,533.15 ",2019-06-19
1073,Operations,Assistant,High School,56,F," R$ 9,062.61 ",2023-05-18
1074,Logistics,Manager,Master,37,M," R$ 6,834.37 ",2019-06-03
1075,Legal,Director,PhD,44,F," R$ 17,539.86 ",2016-10-12
1076,Finance,Director,PhD,61,M," R$ 23,266.62 ",27/03/2016
1077,IT,Assistant,High School,42,F," R$ 12,916.86 ",07/03/2012
1078,Marketing,Specialist,Master,50,F," R$ 11,780.68 ",08/03/2022
1079,HR,Technician,,57,F," R$ 9,123.57 ",17/06/2011
1080,Legal,Manager,Master,31,F," R$ 13,643.02 ",2021-09-23
1081,Logistics,Assistant,High School,41,M," R$ 6,403.03 ",2010-12-14
1082,Marketing,Assistant,High School,28,M," R$ 8,209.92 ",2018-09-24
1083,Marketing,Technician,Technical Diploma,51,F," R$ 12,568.00 ",2022-07-11
1084,Legal,Manager,Master,50,M," R$ 18,180.27 ",2016-09-13
1085,Marketing,,Bachelor,22,M," R$ 7,807.82 ",2013-05-30
1086,Finance,Assistant,High School,42,F," R$ 19,472.19 ",2012-08-12
1087,Marketing,Specialist,Master,28,F," R$ 8,129.54 ",2023-01-25
1088,HR,Manager,Master,25,M," R$ 5,327.69 ",2018-07-22
1089,HR,Technician,Technical Diploma,60,M," R$ 10,425.28 ",2018-02-16
1090,Marketing,Analyst,Bachelor,36,F," R$ 9,647.16 ",2012-01-09
1091,Legal,Manager,Master,55,F," R$ 20,072.39 ",2013-11-23
1092,Operations,Director,PhD,23,M,,2020-08-14
1093,IT,Specialist,Master,58,F," R$ 14,691.84 ",2010-04-07
1094,Finance,Technician,Technical Diploma,24, ," R$ 16,342.84 ",2015-12-28
1095,IT,,Bachelor,25,F," R$ 10,228.44 ",21/08/2020
1096,Marketing,Manager,Master,64,M," R$ 14,485.85 ",2022-01-31
1097,Finance,Manager,Master,57,M," R$ 23,947.73 ",2016-08-26
1098,Marketing,Assistant,High School,48,M," R$ 11,015.78 ",07/02/2015
1099,Finance,Coordinator,Bachelor,25,M, ,2011-03-01
1100,IT,Technician,Technical Diploma,57,M," R$ 17,926.55 ",2022-02-09
1101,Legal,Manager,Master,40,F," R$ 17,817.65 ",2019-02-23
1102,Legal,Manager,Master,55,F," R$ 20,844.76 ",2021-09-05
1103,HR,Technician,Technical Diploma,37,M," R$ 6,619.94 ",2015-03-12
1104,Operations,Director,PhD,61,F," R$ 12,437.63 ",2017-05-07
1105,IT,Assistant,High School,43,M," R$ 15,111.76 ",2012-04-07
1106,HR,Technician,Technical Diploma,53,F," R$ 9,058.90 ",2020-06-21
1107,Legal,Assistant,High School,23,F, ,21/11/2014
1108,Logistics,Manager,Master,38,M," R$ 6,811.61 ",2023-05-12
1109,Logistics,Assistant,High School,44,M," R$ 6,355.76 ",05/02/2014
1110,IT,Coordinator,Bachelor,33,M," R$ 12,310.29 ",2011-06-08
1111,HR,Coordinator,Bachelor,34,F," R$ 6,800.73 ",27/01/2023
1112,Legal,Coordinator,Bachelor,31,F," R$ 13,149.91 ",21/02/2015
